transcript	gencode_gene	gencode_gene_id	gnomad_gene	chr	gnomad_transcript_start	gnomad_transcript_end	gnomad_cds_start	gnomad_cds_end	strand
ENST00000013125	MAP4K5	ENSG00000012983	MAP4K5	14	50885219	51027844	50886740	50998767	-
ENST00000013222	INMT	ENSG00000241644	INMT	7	30737601	30797218	30791767	30795464	+
ENST00000013807	ERCC1	ENSG00000012061	ERCC1	19	45910591	45982086	45916809	45926632	-
ENST00000014914	GPRC5A	ENSG00000013588	GPRC5A	12	13043716	13070871	13061184	13065470	+
ENST00000014930	HEBP1	ENSG00000013583	HEBP1	12	13127798	13153207	13128245	13153048	-
ENST00000016171	COX15	ENSG00000014919	COX15	10	101471601	101491857	101474347	101491806	-
ENST00000016913	MS4A12	ENSG00000071203	MS4A12	11	60260251	60274903	60264792	60274594	+
ENST00000017003	XYLT2	ENSG00000015532	XYLT2	17	48423453	48440499	48423502	48437649	+
ENST00000019103	SCTR	ENSG00000080293	SCTR	2	120197419	120282070	120197696	120281802	-
ENST00000019317	RALBP1	ENSG00000017797	RALBP1	18	9475007	9538114	9513044	9535932	+
ENST00000020673	PSD	ENSG00000059915	PSD	10	104162376	104181296	104162960	104176795	-
ENST00000020926	SYT13	ENSG00000019505	SYT13	11	45261852	45307870	45265606	45307758	-
ENST00000023064	SLC7A9	ENSG00000021488	SLC7A9	19	33321415	33360672	33321529	33359440	-
ENST00000023939	RTFDC1	ENSG00000022277	RTFDC1	20	55043647	55093943	55043754	55093318	+
ENST00000024061	SLC45A4	ENSG00000022567	SLC45A4	8	142217265	142318404	142221544	142238365	-
ENST00000025008	RB1CC1	ENSG00000023287	RB1CC1	8	53535016	53658403	53536345	53598029	-
ENST00000025301	AKAP11	ENSG00000023516	AKAP11	13	42846289	42897396	42860485	42893361	+
ENST00000026218	PIGQ	ENSG00000007541	PIGQ	16	616995	634136	624075	633631	+
ENST00000027335	CDH17	ENSG00000079112	CDH17	8	95139399	95229531	95140471	95206913	-
ENST00000029410	B4GALT7	ENSG00000027847	B4GALT7	5	177027101	177037348	177027212	177036693	+
ENST00000033079	FAM13B	ENSG00000031003	FAM13B	5	137273649	137387650	137275917	137354800	-
ENST00000035307	CHPF2	ENSG00000033100	CHPF2	7	150929575	150935908	150931098	150935764	+
ENST00000035383	LRRC7	ENSG00000033122	LRRC7	1	70034081	70617628	70225888	70587567	+
ENST00000037243	GABARAPL2	ENSG00000034713	GABARAPL2	16	75600249	75611779	75600385	75611264	+
ENST00000037502	MYOC	ENSG00000034971	MYOC	1	171604557	171621823	171605068	171621751	-
ENST00000037869	FAM136A	ENSG00000035141	FAM136A	2	70523107	70529222	70524424	70529143	-
ENST00000039007	OTC	ENSG00000036473	OTC	X	38211798	38280703	38211950	38280332	+
ENST00000039989	TTC17	ENSG00000052841	TTC17	11	43380482	43516483	43380505	43515451	+
ENST00000040584	HOXC8	ENSG00000037965	HOXC8	12	54402832	54407570	54403069	54405162	+
ENST00000040663	MRI1	ENSG00000037757	MRI1	19	13875346	13885096	13875403	13883092	+
ENST00000040738	BOD1L1	ENSG00000038219	BOD1L1	4	13570362	13629347	13571638	13629211	-
ENST00000040877	TARBP1	ENSG00000059588	TARBP1	1	234527059	234614849	234527326	234614849	-
ENST00000043402	RTN4R	ENSG00000040608	RTN4R	22	20228938	20270769	20229237	20255615	-
ENST00000044462	PSMA4	ENSG00000041357	PSMA4	15	78832747	78841604	78834270	78841283	+
ENST00000046087	ZPBP	ENSG00000042813	ZPBP	7	49890017	50160925	49977127	50132790	-
ENST00000046794	LCP2	ENSG00000043462	LCP2	5	169673241	169725231	169675704	169724615	-
ENST00000052754	DCN	ENSG00000011465	DCN	12	91539025	91576900	91539838	91572329	-
ENST00000053243	TNFRSF17	ENSG00000048462	TNFRSF17	16	12058964	12061925	12059182	12061701	+
ENST00000053468	MRPS10	ENSG00000048544	MRPS10	6	42174539	42185603	42176030	42185587	-
ENST00000053867	GRN	ENSG00000030582	GRN	17	42422614	42430470	42426533	42430163	+
ENST00000054650	THAP3	ENSG00000041988	THAP3	1	6684926	6695646	6685279	6693134	+
ENST00000054666	VAMP3	ENSG00000049245	VAMP3	1	7831329	7841492	7831444	7839702	+
ENST00000054668	UTS2	ENSG00000049247	UTS2	1	7903143	7913572	7907829	7913491	-
ENST00000054950	RCN1	ENSG00000049449	RCN1	11	31833939	32127301	32112743	32126015	+
ENST00000055077	RFC2	ENSG00000049541	RFC2	7	73645829	73668774	73646439	73668713	-
ENST00000055335	PPP1R3F	ENSG00000049769	PPP1R3F	X	49126306	49157929	49126333	49143549	+
ENST00000055682	KIAA2022	ENSG00000050030	KIAA2022	X	73952684	74145282	73959243	73965485	-
ENST00000056217	ARHGEF5	ENSG00000050327	ARHGEF5	7	144052381	144077725	144059763	144077146	+
ENST00000056233	NFE2L3	ENSG00000050344	NFE2L3	7	26191860	26226745	26192119	26225400	+
ENST00000061240	TLL1	ENSG00000038295	TLL1	4	166794410	167025047	166795057	167022025	+
ENST00000062104	NNAT	ENSG00000053438	NNAT	20	36149617	36152092	36149734	36151158	+
ENST00000064571	CBLN4	ENSG00000054803	CBLN4	20	54572496	54580528	54573616	54579227	-
ENST00000064724	CLDN11	ENSG00000013297	CLDN11	3	170136653	170578169	170136855	170150541	+
ENST00000064780	RELT	ENSG00000054967	RELT	11	73087309	73108519	73100182	73106533	+
ENST00000070846	PKP2	ENSG00000057294	PKP2	12	32943679	33049774	32945361	33049665	-
ENST00000072644	YIPF1	ENSG00000058799	YIPF1	1	54317392	54356407	54325740	54354610	-
ENST00000072869	ADCK2	ENSG00000133597	ADCK2	7	140372953	140396061	140373131	140394600	+
ENST00000074304	INPP4A	ENSG00000040933	INPP4A	2	99061317	99210853	99136512	99204068	+
ENST00000075120	SLC2A3	ENSG00000059804	SLC2A3	12	8071826	8088871	8074012	8088630	-
ENST00000075503	STYK1	ENSG00000060140	STYK1	12	10771538	10826917	10772746	10787217	-
ENST00000078429	GNA11	ENSG00000088256	GNA11	19	3094408	3124002	3094650	3121174	+
ENST00000078445	CREB3L3	ENSG00000060566	CREB3L3	19	4153598	4173051	4153745	4171963	+
ENST00000080059	HDAC7	ENSG00000061273	HDAC7	12	48176505	48226915	48177627	48213568	-
ENST00000081029	MRPS35	ENSG00000061794	MRPS35	12	27863706	27909228	27863777	27908380	+
ENST00000083182	APPBP2	ENSG00000062725	APPBP2	17	58520520	58603580	58524945	58603292	-
ENST00000084798	CA11	ENSG00000063180	CA11	19	49141199	49149569	49141379	49148889	-
ENST00000085068	ISOC2	ENSG00000063241	ISOC2	19	55964352	55973710	55964678	55967853	-
ENST00000085219	CD22	ENSG00000012124	CD22	19	35810164	35838258	35822944	35837597	+
ENST00000086933	GSC2	ENSG00000063515	GSC2	22	19136089	19137796	19136507	19137796	-
ENST00000155093	ZFY	ENSG00000067646	ZFY	Y	2803112	2850547	2821978	2848031	+
ENST00000155840	KCNQ1	ENSG00000053918	KCNQ1	11	2465914	2870339	2466329	2869230	+
ENST00000155858	TRPM5	ENSG00000070985	TRPM5	11	2425745	2444275	2426170	2444266	-
ENST00000155926	TRIB2	ENSG00000071575	TRIB2	2	12857015	12882860	12858434	12880917	+
ENST00000156084	OTUD5	ENSG00000068308	OTUD5	X	48779305	48815648	48780454	48814832	-
ENST00000156109	GPKOW	ENSG00000068394	GPKOW	X	48970334	48980151	48970562	48980072	-
ENST00000156471	AQR	ENSG00000021776	AQR	15	35147732	35262040	35148996	35261814	-
ENST00000156626	ST6GALNAC1	ENSG00000070526	ST6GALNAC1	17	74620843	74639920	74621415	74639720	-
ENST00000156825	MBD3	ENSG00000071655	MBD3	19	1576639	1592882	1578342	1592630	-
ENST00000157600	LMCD1	ENSG00000071282	LMCD1	3	8543393	8609805	8543625	8609281	+
ENST00000157812	PSMC4	ENSG00000013275	PSMC4	19	40476912	40487348	40477110	40487209	+
ENST00000158009	FNDC8	ENSG00000073598	FNDC8	17	33448598	33457751	33448713	33457450	+
ENST00000158166	CAMKK1	ENSG00000004660	CAMKK1	17	3763609	3798185	3769201	3788981	-
ENST00000158762	ACAP1	ENSG00000072818	ACAP1	17	7239848	7254797	7240054	7254711	+
ENST00000158771	DERL2	ENSG00000072849	DERL2	17	5374571	5390131	5378007	5389481	-
ENST00000159060	NOX3	ENSG00000074771	NOX3	6	155716504	155777037	155717973	155776934	-
ENST00000159087	ANO8	ENSG00000074855	ANO8	19	17434032	17445638	17434329	17445479	-
ENST00000159111	KDM4B	ENSG00000127663	KDM4B	19	4969125	5153606	5032902	5151519	+
ENST00000160262	ICAM3	ENSG00000076662	ICAM3	19	10444452	10450499	10444536	10450290	-
ENST00000160373	CTTNBP2	ENSG00000077063	CTTNBP2	7	117350705	117514193	117351594	117513469	-
ENST00000160382	ACTL6B	ENSG00000077080	ACTL6B	7	100240720	100254084	100240872	100253977	-
ENST00000160827	KIF22	ENSG00000079616	KIF22	16	29802040	29816706	29802081	29816628	+
ENST00000161006	PRSS22	ENSG00000005001	PRSS22	16	2902728	2908171	2903097	2908105	-
ENST00000161559	CEACAM1	ENSG00000079385	CEACAM1	19	43011456	43065386	43013264	43032526	-
ENST00000161863	YTHDC2	ENSG00000047188	YTHDC2	5	112849380	112930982	112849593	112929077	+
ENST00000162023	MEF2B	ENSG00000213999	MEF2B	19	19256377	19303400	19256609	19261544	-
ENST00000162044	TMEM161A	ENSG00000064545	TMEM161A	19	19229978	19249322	19230742	19249237	-
ENST00000162391	FOXJ2	ENSG00000065970	FOXJ2	12	8185299	8208099	8192429	8205443	+
ENST00000162749	TNFRSF1A	ENSG00000067182	TNFRSF1A	12	6437923	6451280	6438481	6450980	-
ENST00000163416	GOLGA5	ENSG00000066455	GOLGA5	14	93260576	93306308	93263783	93305788	+
ENST00000164024	CELSR3	ENSG00000008300	CELSR3	3	48673902	48700348	48675641	48700067	-
ENST00000164133	PPP2R5B	ENSG00000068971	PPP2R5B	11	64685025	64701945	64693207	64701313	+
ENST00000164139	PYGM	ENSG00000068976	PYGM	11	64513861	64527769	64514134	64527370	-
ENST00000164227	BCL3	ENSG00000069399	BCL3	19	45250962	45263301	45252048	45262869	+
ENST00000164305	PIGB	ENSG00000069943	PIGB	15	55611158	55647846	55611449	55647627	+
ENST00000164640	PDZD4	ENSG00000067840	PDZD4	X	153067621	153096020	153068811	153095753	-
ENST00000165524	PRLH	ENSG00000071677	PRLH	2	238475217	238475818	238475217	238475815	+
ENST00000166139	FSTL3	ENSG00000070404	FSTL3	19	676392	683385	676424	681705	+
ENST00000166244	EPHA8	ENSG00000070886	EPHA8	1	22890057	22930087	22890129	22928231	+
ENST00000166345	TRIP13	ENSG00000071539	TRIP13	5	892758	919472	893114	917215	+
ENST00000167106	VASH1	ENSG00000071246	VASH1	14	77228532	77249354	77229165	77245358	+
ENST00000167586	KRT14	ENSG00000186847	KRT14	17	39738531	39743173	39738690	39743086	-
ENST00000167588	KRT20	ENSG00000171431	KRT20	17	39032193	39041479	39032616	39041437	-
ENST00000168148	SPP2	ENSG00000072080	SPP2	2	234959323	234985778	234959431	234978654	+
ENST00000168216	HSD17B10	ENSG00000072506	HSD17B10	X	53458206	53461320	53458355	53461292	-
ENST00000168712	FGF4	ENSG00000075388	FGF4	11	69587797	69590171	69588080	69589852	-
ENST00000168977	NMRK2	ENSG00000077009	NMRK2	19	3933101	3942414	3933670	3942268	+
ENST00000169298	ST6GAL1	ENSG00000073849	ST6GAL1	3	186648274	186796341	186760492	186793588	+
ENST00000169551	TIMM21	ENSG00000075336	TIMM21	18	71815746	71826197	71816044	71825712	+
ENST00000170150	BPIFB2	ENSG00000078898	BPIFB2	20	31595406	31611515	31596381	31611186	+
ENST00000170168	REXO1	ENSG00000079313	REXO1	19	1815248	1848452	1816068	1848357	-
ENST00000170447	MKRN2	ENSG00000075975	MKRN2	3	12598513	12625212	12598650	12623749	+
ENST00000170564	GPATCH1	ENSG00000076650	GPATCH1	19	33571786	33621448	33572100	33621063	+
ENST00000171111	KEAP1	ENSG00000079999	KEAP1	19	10596796	10614417	10597331	10610709	-
ENST00000171757	P2RY10	ENSG00000078589	P2RY10	X	78200829	78217451	78216018	78217034	+
ENST00000171887	TNS1	ENSG00000079308	TNS1	2	218664512	218867718	218669185	218762688	-
ENST00000172229	NGFR	ENSG00000064300	NGFR	17	47572655	47592379	47572780	47590368	+
ENST00000173229	NTN1	ENSG00000065320	NTN1	17	8924859	9147317	8925691	9143282	+
ENST00000173527	ISOC1	ENSG00000066583	ISOC1	5	128430444	128449721	128430460	128448691	+
ENST00000173898	TRO	ENSG00000067445	TRO	X	54946895	54957864	54948680	54957450	+
ENST00000174618	MNT	ENSG00000070444	MNT	17	2287354	2304412	2290198	2304006	-
ENST00000175091	LAPTM4A	ENSG00000068697	LAPTM4A	2	20232411	20251789	20232969	20251281	-
ENST00000175238	ADAM7	ENSG00000069206	ADAM7	8	24298443	24384483	24298622	24365046	+
ENST00000175506	ASNS	ENSG00000070669	ASNS	7	97481430	97501854	97481574	97498468	-
ENST00000175756	PTPN18	ENSG00000072135	PTPN18	2	131113580	131132982	131113681	131130794	+
ENST00000176183	DRD4	ENSG00000069696	DRD4	11	637293	640706	637305	640600	+
ENST00000176195	SCT	ENSG00000070031	SCT	11	626431	627143	626434	627143	-
ENST00000176763	STK10	ENSG00000072786	STK10	5	171469077	171615390	171471889	171615046	-
ENST00000177694	TBX21	ENSG00000073861	TBX21	17	45810610	45823485	45810821	45822729	+
ENST00000178638	CA12	ENSG00000074410	CA12	15	63613577	63674360	63618487	63673919	-
ENST00000178640	MAP2K5	ENSG00000137764	MAP2K5	15	67835047	68099461	67835674	68099085	+
ENST00000179259	C12orf5	ENSG00000078237	C12orf5	12	4430371	4462338	4430438	4461854	+
ENST00000180166	FGF20	ENSG00000078579	FGF20	8	16849678	16859690	16850584	16859541	-
ENST00000180173	MTMR7	ENSG00000003987	MTMR7	8	17155539	17271037	17157374	17270801	-
ENST00000181383	CPB2	ENSG00000080618	CPB2	13	46627321	46679211	46627752	46679144	-
ENST00000181796	FAM107B	ENSG00000065809	FAM107B	10	14560556	14816896	14563192	14816662	-
ENST00000181839	CDK13	ENSG00000065883	CDK13	7	39989636	40136733	39990241	40134576	+
ENST00000182096	CRYBG3	ENSG00000080200	CRYBG3	3	97595819	97663810	97595883	97662155	+
ENST00000182290	TSPAN32	ENSG00000064201	TSPAN32	11	2323227	2339430	2323380	2339151	+
ENST00000182527	TRAM2	ENSG00000065308	TRAM2	6	52362200	52441713	52367998	52441713	-
ENST00000183605	CLDN18	ENSG00000066405	CLDN18	3	137717577	137752494	137729068	137749980	+
ENST00000184183	ROPN1	ENSG00000065371	ROPN1	3	123687368	123711025	123688005	123699328	-
ENST00000184266	NDUFB4	ENSG00000065518	NDUFB4	3	120315156	120321347	120315207	120321114	+
ENST00000184956	HEATR6	ENSG00000068097	HEATR6	17	58120555	58156292	58120927	58156275	-
ENST00000185150	ERLEC1	ENSG00000068912	ERLEC1	2	54014181	54045956	54014348	54045103	+
ENST00000185206	CLIC5	ENSG00000112782	CLIC5	6	45868045	46048132	45870828	46047979	-
ENST00000186436	TMEM131	ENSG00000075568	TMEM131	2	98372799	98612388	98373565	98612125	-
ENST00000187762	TMEM38A	ENSG00000072954	TMEM38A	19	16771938	16800840	16772029	16799179	+
ENST00000188312	ACTR6	ENSG00000075089	ACTR6	12	100592900	100635643	100594630	100617690	+
ENST00000188790	FAP	ENSG00000078098	FAP	2	163027194	163101661	163027492	163099837	-
ENST00000190165	DMRT3	ENSG00000064218	DMRT3	9	976964	991731	977002	991002	+
ENST00000192314	GAL3ST2	ENSG00000154252	GAL3ST2	2	242716240	242743623	242716371	242743578	+
ENST00000192788	UHRF1BP1	ENSG00000065060	UHRF1BP1	6	34759857	34850915	34760028	34840212	+
ENST00000193322	OSTM1	ENSG00000081087	OSTM1	6	108362613	108487058	108365992	108395855	-
ENST00000193391	IMPG2	ENSG00000081148	IMPG2	3	100941390	101039404	100945816	101039216	-
ENST00000194130	SLC13A1	ENSG00000081800	SLC13A1	7	122753585	122840040	122755575	122840000	-
ENST00000194152	PCDHB4	ENSG00000081818	PCDHB4	5	140501581	140505201	140501581	140503965	+
ENST00000194155	PCDHB2	ENSG00000112852	PCDHB2	5	140474227	140476962	140474375	140476768	+
ENST00000194214	HSPB11	ENSG00000081870	HSPB11	1	54382247	54411602	54387327	54405755	-
ENST00000194530	STRADB	ENSG00000082146	STRADB	2	202252581	202345569	202319564	202344895	+
ENST00000195455	C4orf6	ENSG00000082929	C4orf6	4	5526296	5529528	5527058	5528055	+
ENST00000196061	PLOD1	ENSG00000083444	PLOD1	1	11994262	12035595	11994837	12034862	+
ENST00000196371	OXCT1	ENSG00000083720	OXCT1	5	41730167	41870621	41731834	41870460	-
ENST00000196489	ZNF416	ENSG00000083817	ZNF416	19	58082934	58090295	58083490	58090072	-
ENST00000196548	ZNF8	ENSG00000083842	ZNF8	19	58790317	58807254	58790448	58806899	+
ENST00000197268	KIAA1467	ENSG00000084444	KIAA1467	12	13197218	13295455	13197338	13233561	+
ENST00000198536	PILRA	ENSG00000085514	PILRA	7	99965153	99997719	99971280	99997527	+
ENST00000198767	RRN3	ENSG00000085721	RRN3	16	15153879	15188174	15155604	15188090	-
ENST00000198801	MOGAT2	ENSG00000166391	MOGAT2	11	75428864	75444003	75428934	75442328	+
ENST00000199280	AQP2	ENSG00000167580	AQP2	12	50344524	50352664	50344614	50349388	+
ENST00000199320	DIMT1	ENSG00000086189	DIMT1	5	61683081	61699766	61684840	61699599	-
ENST00000199389	EIF2AK1	ENSG00000086232	EIF2AK1	7	6061881	6098861	6064307	6098714	-
ENST00000199447	NME8	ENSG00000086288	NME8	7	37888199	37940003	37889869	37936691	+
ENST00000199448	EPDR1	ENSG00000086289	EPDR1	7	37723446	37991543	37960542	37989995	+
ENST00000199706	MRPL28	ENSG00000086504	MRPL28	16	417384	420527	417678	420218	-
ENST00000199708	HBQ1	ENSG00000086506	HBQ1	16	230452	231180	230486	231104	+
ENST00000199764	CEACAM6	ENSG00000086548	CEACAM6	19	42254885	42276113	42259547	42270164	+
ENST00000199814	RBM22	ENSG00000086589	RBM22	5	150070356	150080669	150071316	150080547	-
ENST00000199936	HSD17B2	ENSG00000086696	HSD17B2	16	82068609	82132139	82069030	82132038	+
ENST00000200135	ZW10	ENSG00000086827	ZW10	11	113603909	113644533	113604419	113644388	-
ENST00000200181	ITGB4	ENSG00000132470	ITGB4	17	73717408	73753899	73720784	73753633	+
ENST00000200453	PPP1R15A	ENSG00000087074	PPP1R15A	19	49375649	49379314	49376491	49379227	+
ENST00000200457	TRIP6	ENSG00000087077	TRIP6	7	100464760	100471076	100465120	100470922	+
ENST00000200557	ADAM11	ENSG00000073670	ADAM11	17	42836399	42859214	42836568	42857119	+
ENST00000200652	SLC22A4	ENSG00000197208	SLC22A4	5	131630136	131679899	131630310	131679525	+
ENST00000200676	CETP	ENSG00000087237	CETP	16	56995762	57017757	56995892	57017575	+
ENST00000200691	MT3	ENSG00000087250	MT3	16	56622986	56625000	56623503	56624858	+
ENST00000201031	TFAP2C	ENSG00000087510	TFAP2C	20	55204358	55214339	55204601	55213066	+
ENST00000201586	SULT2B1	ENSG00000088002	SULT2B1	19	49055332	49102682	49055510	49102660	+
ENST00000201647	EPS8L1	ENSG00000131037	EPS8L1	19	55583388	55599291	55587813	55598979	+
ENST00000201979	REM1	ENSG00000088320	REM1	20	30063096	30072708	30064249	30072230	+
ENST00000202017	PDRG1	ENSG00000088356	PDRG1	20	30532758	30539895	30533613	30539764	-
ENST00000202556	PPP1R13B	ENSG00000088808	PPP1R13B	14	104200089	104313927	104201494	104313644	-
ENST00000202625	TGM6	ENSG00000166948	TGM6	20	2361554	2413399	2361615	2413286	+
ENST00000202677	RALGAPA2	ENSG00000188559	RALGAPA2	20	20370196	20693131	20377377	20693123	-
ENST00000202816	ESF1	ENSG00000089048	ESF1	20	13694969	13765532	13695524	13763786	-
ENST00000202967	SIRT4	ENSG00000089163	SIRT4	12	120740119	120751052	120741365	120750836	+
ENST00000203001	TRMT6	ENSG00000089195	TRMT6	20	5917881	5931182	5919184	5931051	-
ENST00000203166	HAUS5	ENSG00000249115	HAUS5	19	36103646	36116251	36103697	36113892	+
ENST00000203407	UQCRC1	ENSG00000010256	UQCRC1	3	48636435	48648409	48636564	48647053	-
ENST00000203556	GMIP	ENSG00000089639	GMIP	19	19740285	19754476	19740775	19754338	-
ENST00000203629	LAG3	ENSG00000089692	LAG3	12	6881678	6887621	6882019	6887553	+
ENST00000203630	MLF2	ENSG00000089693	MLF2	12	6857170	6876641	6857964	6861500	-
ENST00000203664	OTUB2	ENSG00000089723	OTUB2	14	94492675	94515276	94492884	94512265	+
ENST00000204517	TFAP4	ENSG00000090447	TFAP4	16	4307187	4323076	4308059	4322747	-
ENST00000204549	PDCD7	ENSG00000090470	PDCD7	15	65409717	65426174	65411058	65426119	-
ENST00000204566	SPG21	ENSG00000090487	SPG21	15	65255362	65282648	65255964	65275907	-
ENST00000204604	CHRD	ENSG00000090539	CHRD	3	184097861	184108524	184098107	184107207	+
ENST00000204615	THPO	ENSG00000090534	THPO	3	184089723	184095932	184090304	184094047	-
ENST00000204679	GNPTG	ENSG00000090581	GNPTG	16	1401924	1413352	1401967	1413089	+
ENST00000204726	GOLGA3	ENSG00000090615	GOLGA3	12	133345495	133405444	133349694	133398714	-
ENST00000204961	EFNB1	ENSG00000090776	EFNB1	X	68048840	68061990	68049620	68060494	+
ENST00000205061	GLG1	ENSG00000090863	GLG1	16	74485856	74641012	74485957	74640992	-
ENST00000205143	DLL3	ENSG00000090932	DLL3	19	39989535	39999121	39989615	39998650	+
ENST00000205194	NAT14	ENSG00000090971	NAT14	19	55996371	55998935	55997076	55998320	+
ENST00000205214	AASDH	ENSG00000157426	AASDH	4	57204456	57253666	57204571	57250465	-
ENST00000205402	DLD	ENSG00000091140	DLD	7	107531415	107572175	107531696	107559701	+
ENST00000205557	ABCC6	ENSG00000091262	ABCC6	16	16242785	16317379	16243993	16317291	-
ENST00000205636	CMTM6	ENSG00000091317	CMTM6	3	32522804	32544900	32525455	32544237	-
ENST00000205890	MYO15A	ENSG00000091536	MYO15A	17	18012020	18083116	18022115	18082181	+
ENST00000205948	APOH	ENSG00000091583	APOH	17	64208151	64252643	64208254	64225497	-
ENST00000206020	SPAG7	ENSG00000091640	SPAG7	17	4862521	4871167	4862832	4871099	-
ENST00000206423	CCDC80	ENSG00000091986	CCDC80	3	112323407	112368377	112324267	112358752	-
ENST00000206474	HAUS4	ENSG00000092036	HAUS4	14	23415437	23426370	23415737	23424363	-
