transcript	classification	median_mcr_mis_oe
ENST00000263431	B/LB	0.83635
ENST00000263621	P/LP	1.0362
ENST00000263621	B/LB	1.0362
ENST00000263726	P/LP	0.85757
ENST00000263726	B/LB	0.85757
ENST00000263734	P/LP	0.055252
ENST00000263734	B/LB	1.1754
ENST00000263780	P/LP	1.0349
ENST00000263780	B/LB	1.0349
ENST00000263857	P/LP	0.81674
ENST00000263857	B/LB	0.84094
ENST00000264010	P/LP	0.24132
ENST00000264010	B/LB	0.75934
ENST00000264028	B/LB	0.81555
ENST00000264071	P/LP	0.44793
ENST00000264071	B/LB	0.47817
ENST00000264156	B/LB	0.94903
ENST00000264245	B/LB	0.87603
ENST00000264331	P/LP	0.40796
ENST00000264331	B/LB	0.95167
ENST00000264376	P/LP	1.0046
ENST00000264376	B/LB	1.0046
ENST00000264380	B/LB	0.94633
ENST00000264414	P/LP	0.50463
ENST00000264414	B/LB	0.50463
ENST00000264426	P/LP	0.40301
ENST00000264426	B/LB	0.5562
ENST00000264634	P/LP	0.76483
ENST00000264634	B/LB	0.76483
ENST00000264657	P/LP	0.39459
ENST00000264657	B/LB	0.39459
ENST00000265028	P/LP	0.81099
ENST00000265028	B/LB	0.81099
ENST00000265077	P/LP	0.97899
ENST00000265077	B/LB	0.97899
ENST00000265113	B/LB	0.742175
ENST00000265304	P/LP	0.62493
ENST00000265304	B/LB	1.3801
ENST00000265340	P/LP	0.46956
ENST00000265340	B/LB	0.98715
ENST00000265343	P/LP	0.050646
ENST00000265343	B/LB	0.92615
ENST00000265362	B/LB	0.76932
ENST00000265388	B/LB	0.74781
ENST00000265643	B/LB	1.0331
ENST00000265713	P/LP	0.52168
ENST00000265713	B/LB	0.95835
ENST00000265748	P/LP	0.90121
ENST00000265748	B/LB	0.90121
ENST00000265969	P/LP	0.22578
ENST00000265969	B/LB	0.83473
ENST00000266079	B/LB	0.63592
ENST00000266085	P/LP	0.73689
ENST00000266085	B/LB	0.47262
ENST00000267119	B/LB	1.0444
ENST00000267415	P/LP	0.15484
ENST00000267415	B/LB	0.91321
ENST00000267890	P/LP	0.76384
ENST00000267890	B/LB	0.98417
ENST00000268231	B/LB	1.2793
ENST00000268605	B/LB	1.15
ENST00000269122	P/LP	0.36264
ENST00000269122	B/LB	0.52949
ENST00000269197	P/LP	1.0119
ENST00000269197	B/LB	1.0119
ENST00000270722	B/LB	1.0317
ENST00000271588	B/LB	0.95361
ENST00000271628	P/LP	0.30642
ENST00000271628	B/LB	0.71088
ENST00000271715	P/LP	0.79504
ENST00000271715	B/LB	0.83764
ENST00000271751	P/LP	0.48316
ENST00000271751	B/LB	0.91145
ENST00000271915	P/LP	0.51671
ENST00000271915	B/LB	0.78353
ENST00000272102	P/LP	0.14066
ENST00000272298	P/LP	0.21269
ENST00000273077	P/LP	1.0087
ENST00000273077	B/LB	1.0087
ENST00000273550	B/LB	0.65096
ENST00000274276	P/LP	0.95279
ENST00000274276	B/LB	0.95279
ENST00000274629	B/LB	0.99828
ENST00000275034	P/LP	0.53067
ENST00000275034	B/LB	0.79867
ENST00000276390	P/LP	0.59754
ENST00000276390	B/LB	1.4449
ENST00000276654	B/LB	0.82943
ENST00000277120	P/LP	0.60021
ENST00000277120	B/LB	0.70968
ENST00000277225	P/LP	0.85546
ENST00000277225	B/LB	0.87136
ENST00000277865	P/LP	0.53916
ENST00000277865	B/LB	0.53916
ENST00000278317	P/LP	0.8776
ENST00000278317	B/LB	0.8776
ENST00000278379	P/LP	0.64333
ENST00000278379	B/LB	0.74337
ENST00000278550	B/LB	0.80643
ENST00000278780	B/LB	0.87477
ENST00000278836	P/LP	0.58813
ENST00000278836	B/LB	0.91118
ENST00000278888	B/LB	0.99795
ENST00000278947	B/LB	0.91321
ENST00000279488	B/LB	0.68672
ENST00000281043	P/LP	0.26402
ENST00000281043	B/LB	0.95167
ENST00000281708	P/LP	0.34921
ENST00000281708	B/LB	0.95823
ENST00000281928	P/LP	0.44163
ENST00000281928	B/LB	0.78562
ENST00000281938	P/LP	0.94758
ENST00000281938	B/LB	0.94758
ENST00000282141	P/LP	1.0034
ENST00000282141	B/LB	1.0034
ENST00000282441	P/LP	0.80798
ENST00000282441	B/LB	0.80798
ENST00000282499	P/LP	0.51855
ENST00000282499	B/LB	0.81563
ENST00000282516	P/LP	0.38844
ENST00000282516	B/LB	0.86994
ENST00000282928	P/LP	0.47534
ENST00000282928	B/LB	0.86412
ENST00000283147	P/LP	1.1684
ENST00000283147	B/LB	1.1684
ENST00000283195	P/LP	0.81715
ENST00000283195	B/LB	1.024865
ENST00000283254	P/LP	0.51345
ENST00000283254	B/LB	0.78995
ENST00000284268	P/LP	0.61429
ENST00000284268	B/LB	1.002695
ENST00000284601	B/LB	1.0461
ENST00000284727	P/LP	0.49407
ENST00000284727	B/LB	1.044
ENST00000286063	B/LB	0.98994
ENST00000287139	P/LP	0.87799
ENST00000287139	B/LB	0.87799
ENST00000287239	P/LP	0.51937
ENST00000287239	B/LB	0.82058
ENST00000287766	P/LP	0.39265
ENST00000287766	B/LB	0.43851
ENST00000287878	P/LP	0.53474
ENST00000287878	B/LB	0.9869
ENST00000288266	B/LB	0.89603
ENST00000288699	P/LP	0.62383
ENST00000288699	B/LB	0.62383
ENST00000289746	B/LB	1.1847
ENST00000290378	P/LP	0.251965
ENST00000291270	B/LB	1.1471
ENST00000291295	P/LP	0.29566
ENST00000292079	P/LP	1.0022
ENST00000292079	B/LB	1.0022
ENST00000292431	P/LP	0.3383
ENST00000292431	B/LB	0.75892
ENST00000292535	P/LP	0.89662
ENST00000292535	B/LB	0.82327
ENST00000292807	B/LB	0.34719
ENST00000293303	B/LB	0.6014
ENST00000293599	P/LP	0.99422
ENST00000293599	B/LB	0.99422
ENST00000294702	P/LP	0.55224
ENST00000294702	B/LB	0.9971
ENST00000294725	P/LP	0.6415
ENST00000294725	B/LB	0.83751
ENST00000294785	B/LB	0.69291
ENST00000295454	P/LP	0.29297
ENST00000295454	B/LB	0.9254
ENST00000295470	P/LP	1.2298
ENST00000295598	P/LP	0.40127
ENST00000295598	B/LB	0.55155
ENST00000295619	P/LP	0.95982
ENST00000295619	B/LB	0.95982
ENST00000295888	P/LP	0.77859
ENST00000295888	B/LB	0.77859
ENST00000296003	B/LB	0.93458
ENST00000296474	B/LB	0.9146
ENST00000296543	P/LP	0.578795
ENST00000296543	B/LB	0.74115
ENST00000296603	P/LP	0.71097
ENST00000296603	B/LB	0.71097
ENST00000296755	P/LP	0.90545
ENST00000296755	B/LB	0.90545
ENST00000297157	B/LB	0.5738
ENST00000297316	P/LP	0.31728
ENST00000297316	B/LB	1.2059
ENST00000297661	P/LP	0.86923
ENST00000297661	B/LB	0.82497
ENST00000298596	B/LB	0.90423
ENST00000298910	P/LP	0.98741
ENST00000298910	B/LB	0.98741
ENST00000299084	P/LP	1.15985
ENST00000299084	B/LB	0.83607
ENST00000299138	P/LP	0.38818
ENST00000299138	B/LB	0.64974
ENST00000299413	B/LB	1.0924
ENST00000299698	B/LB	0.94451
ENST00000300055	B/LB	1.0831
ENST00000300107	P/LP	0.70468
ENST00000300107	B/LB	1.04089
ENST00000300249	P/LP	0.26326
ENST00000300249	B/LB	0.62631
ENST00000301012	P/LP	1.1589
ENST00000301012	B/LB	1.1589
ENST00000301067	P/LP	0.59221
ENST00000301067	B/LB	0.91176
ENST00000301071	P/LP	0.024777
ENST00000301071	B/LB	0.024777
ENST00000301180	B/LB	0.78803
ENST00000301455	B/LB	0.99129
ENST00000301653	P/LP	0.8949
ENST00000301653	B/LB	0.8949
ENST00000301761	P/LP	0.97354
ENST00000301761	B/LB	0.97354
ENST00000301764	P/LP	0.60902
ENST00000301764	B/LB	0.28387
ENST00000302005	B/LB	0.95625
ENST00000302118	P/LP	0.90645
ENST00000302118	B/LB	0.90645
ENST00000302127	P/LP	0.21005
ENST00000302127	B/LB	0.8707
ENST00000302271	B/LB	0.8641
ENST00000302326	P/LP	0.9887
ENST00000302326	B/LB	0.9887
ENST00000302328	P/LP	0.92363
ENST00000302328	B/LB	0.92363
ENST00000302334	B/LB	0.98509
ENST00000302584	P/LP	0.30656
ENST00000302584	B/LB	1.0032
ENST00000302763	B/LB	0.62724
ENST00000302909	P/LP	0.59023
ENST00000302909	B/LB	0.59023
ENST00000303210	P/LP	0.60464
ENST00000303210	B/LB	0.60464
ENST00000303230	P/LP	0.2582
ENST00000303230	B/LB	1.0439
ENST00000303635	P/LP	0.43043
ENST00000303635	B/LB	0.80539
ENST00000304363	P/LP	0.19709
ENST00000304363	B/LB	1.0028
ENST00000304434	B/LB	0.7866
ENST00000304494	P/LP	1.1346
ENST00000304494	B/LB	1.1346
ENST00000304568	B/LB	1.0507
ENST00000304887	B/LB	0.93548
ENST00000304992	P/LP	0.941685
ENST00000304992	B/LB	0.591205
ENST00000305135	B/LB	0.89546
ENST00000306077	P/LP	1.0298
ENST00000306077	B/LB	1.0298
ENST00000306378	P/LP	0.807165
ENST00000306378	B/LB	0.92818
ENST00000306534	P/LP	1.0212
ENST00000306534	B/LB	1.0212
ENST00000306773	P/LP	0.55703
ENST00000306773	B/LB	0.90454
ENST00000306897	P/LP	0.72705
ENST00000306897	B/LB	0.89763
ENST00000307128	P/LP	0.84928
ENST00000307128	B/LB	0.84928
ENST00000307630	P/LP	0.446
ENST00000307630	B/LB	0.446
ENST00000307944	P/LP	0.8926
ENST00000307944	B/LB	0.8926
ENST00000308271	B/LB	0.65059
ENST00000308330	P/LP	0.809
ENST00000308330	B/LB	0.809
ENST00000308742	B/LB	0.96187
ENST00000309042	P/LP	1.1076
ENST00000309042	B/LB	1.1076
ENST00000309680	P/LP	1.0795
ENST00000309680	B/LB	1.0795
ENST00000310786	B/LB	1.2103
ENST00000311117	P/LP	0.82666
ENST00000311117	B/LB	1.0543
ENST00000311208	P/LP	0.9277
ENST00000311208	B/LB	0.9277
ENST00000311528	P/LP	0.95392
ENST00000311528	B/LB	0.95392
ENST00000311737	P/LP	1.2032
ENST00000311737	B/LB	1.2032
ENST00000313071	P/LP	0.16713
ENST00000313071	B/LB	0.55871
ENST00000313143	B/LB	0.79089
ENST00000313733	B/LB	0.76094
ENST00000313777	B/LB	0.99127
ENST00000314328	P/LP	0.36587
ENST00000314328	B/LB	0.8426
ENST00000314358	P/LP	0.330665
ENST00000314358	B/LB	0.82062
ENST00000314727	B/LB	0.98224
ENST00000315285	P/LP	0.39465
ENST00000315285	B/LB	1.2197
ENST00000315323	P/LP	0.63411
ENST00000315323	B/LB	0.74614
ENST00000315491	P/LP	0.29632
ENST00000315491	B/LB	0.29632
ENST00000315576	P/LP	0.82138
ENST00000315576	B/LB	0.82138
ENST00000316099	P/LP	0.74079
ENST00000316099	B/LB	0.74079
ENST00000316300	B/LB	1.1546
ENST00000316361	P/LP	0.26978
ENST00000316361	B/LB	0.59593
ENST00000316623	P/LP	0.62658
ENST00000316623	B/LB	0.62658
ENST00000317147	P/LP	0.504295
ENST00000317147	B/LB	0.69134
ENST00000317306	B/LB	0.96382
ENST00000317702	P/LP	0.75951
ENST00000317702	B/LB	0.75951
ENST00000318238	P/LP	0.84442
ENST00000318238	B/LB	0.85551
ENST00000318948	B/LB	1.068
ENST00000320185	P/LP	0.81151
ENST00000320185	B/LB	0.661995
ENST00000320256	B/LB	0.93443
ENST00000320356	P/LP	0.32394
ENST00000320356	B/LB	0.64708
ENST00000320567	P/LP	0.67342
ENST00000320567	B/LB	0.99317
ENST00000320580	P/LP	0.63002
ENST00000320580	B/LB	0.71316
ENST00000321030	P/LP	0.14515
ENST00000321253	B/LB	0.709285
ENST00000322002	P/LP	0.22286
ENST00000322002	B/LB	0.99989
ENST00000322030	P/LP	0.24873
ENST00000322030	B/LB	0.473605
ENST00000322088	P/LP	0.34894
ENST00000322088	B/LB	0.54283
ENST00000322357	P/LP	0.24459
ENST00000322357	B/LB	0.84588
ENST00000322535	B/LB	0.84656
ENST00000322569	B/LB	0.91536
ENST00000322652	P/LP	0.44463
ENST00000322652	B/LB	0.83703
ENST00000322957	B/LB	1.0288
ENST00000323039	P/LP	0.74861
ENST00000323039	B/LB	0.74861
ENST00000323346	P/LP	0.89995
ENST00000323346	B/LB	0.89995
ENST00000323853	P/LP	0.50924
ENST00000323853	B/LB	0.65894
ENST00000323865	B/LB	0.99087
ENST00000324134	P/LP	1.1311
ENST00000324134	B/LB	1.1311
ENST00000324501	P/LP	0.56393
ENST00000324501	B/LB	0.9754
ENST00000324631	B/LB	1.1019
ENST00000324727	B/LB	0.94255
ENST00000324856	P/LP	0.50284
ENST00000324856	B/LB	0.81043
ENST00000324862	P/LP	0.54854
ENST00000324862	B/LB	0.54854
ENST00000325404	P/LP	0.17816
ENST00000325404	B/LB	0.76179
ENST00000325888	P/LP	0.65985
ENST00000325888	B/LB	0.83513
ENST00000326043	P/LP	0.19724
ENST00000326043	B/LB	1.084
ENST00000326181	P/LP	0.60675
ENST00000326181	B/LB	1.2507
ENST00000326524	B/LB	0.8968
ENST00000326637	P/LP	1.1165
ENST00000326637	B/LB	1.1165
ENST00000327111	P/LP	0.14161
ENST00000327111	B/LB	0.5158
ENST00000327367	P/LP	0.42447
ENST00000327367	B/LB	0.56348
ENST00000327741	P/LP	0.55839
ENST00000327741	B/LB	1.0318
ENST00000327858	B/LB	0.78632
ENST00000327892	P/LP	0.065642
ENST00000327892	B/LB	0.58508
ENST00000328024	P/LP	0.171912
ENST00000328024	B/LB	0.71437
ENST00000328546	B/LB	1.0205
ENST00000329276	B/LB	0.78742
ENST00000330423	B/LB	0.90283
ENST00000330494	P/LP	0.19017
ENST00000330494	B/LB	0.85251
ENST00000330503	P/LP	0.991725
ENST00000330503	B/LB	1.2157
ENST00000330597	B/LB	0.95767
ENST00000330684	P/LP	0.36826
ENST00000330684	B/LB	1.0535
ENST00000330722	P/LP	1.0013
ENST00000330722	B/LB	1.0013
ENST00000330794	P/LP	0.76701
ENST00000330794	B/LB	0.76701
ENST00000331327	P/LP	0.1733685
ENST00000331327	B/LB	0.40991
ENST00000331340	P/LP	0.31607
ENST00000331340	B/LB	0.87252
ENST00000331483	P/LP	0.89805
ENST00000331483	B/LB	0.89805
ENST00000331710	P/LP	0.73236
ENST00000331710	B/LB	0.79076
ENST00000331968	P/LP	0.85743
ENST00000331968	B/LB	0.85743
ENST00000332029	P/LP	1.1332
ENST00000332372	B/LB	0.98956
ENST00000332822	P/LP	0.61148
ENST00000332822	B/LB	0.97161
ENST00000332995	P/LP	0.61786
ENST00000332995	B/LB	0.78927
ENST00000333628	P/LP	0.071333
ENST00000333628	B/LB	0.16286
ENST00000334049	P/LP	0.45585
ENST00000334049	B/LB	1.1704
ENST00000334220	B/LB	1.20939
ENST00000334344	P/LP	0.457634
ENST00000334344	B/LB	0.86487
ENST00000334512	P/LP	0.41109
ENST00000334512	B/LB	0.80006
ENST00000334549	P/LP	0.9498
ENST00000334549	B/LB	0.9498
ENST00000334785	P/LP	1.1161
ENST00000334785	B/LB	1.1161
ENST00000335625	P/LP	0.32152
ENST00000335625	B/LB	0.64428
ENST00000335670	P/LP	0.27606
ENST00000335670	B/LB	0.47773
ENST00000336119	P/LP	0.76779
ENST00000336119	B/LB	0.76779
ENST00000336458	P/LP	0.14788
ENST00000336715	B/LB	1.0002
ENST00000337288	B/LB	0.78537
ENST00000337393	B/LB	0.995375
ENST00000337435	P/LP	0.74462
ENST00000337435	B/LB	0.74462
ENST00000338074	P/LP	0.79975
ENST00000338074	B/LB	0.79975
ENST00000338745	P/LP	0.51836
ENST00000338745	B/LB	0.83964
ENST00000338791	P/LP	0.71923
ENST00000338791	B/LB	0.71923
ENST00000339336	B/LB	0.99287
ENST00000339562	P/LP	0.22362
ENST00000339562	B/LB	0.80306
ENST00000340253	P/LP	0.91175
ENST00000340253	B/LB	0.94562
ENST00000340635	P/LP	0.50682
ENST00000340635	B/LB	0.94469
ENST00000340726	P/LP	0.86627
ENST00000340726	B/LB	0.86627
ENST00000340811	P/LP	0.90667
ENST00000340811	B/LB	0.90667
ENST00000340913	P/LP	0.58014
ENST00000340913	B/LB	0.58014
ENST00000341099	B/LB	1.0303
ENST00000341318	P/LP	0.094874
ENST00000341318	B/LB	0.637175
ENST00000341420	B/LB	0.80456
ENST00000341776	P/LP	0.1382
ENST00000341776	B/LB	1.1192
ENST00000342310	P/LP	0.49032
ENST00000342310	B/LB	0.81569
ENST00000342505	P/LP	0.54261
ENST00000342505	B/LB	0.71457
ENST00000342771	P/LP	0.90023
ENST00000342771	B/LB	0.98795
ENST00000342788	P/LP	0.75799
ENST00000342788	B/LB	0.74625
ENST00000343597	P/LP	1.0035
ENST00000343597	B/LB	1.0035
ENST00000343820	P/LP	0.80543
ENST00000343820	B/LB	0.80543
ENST00000344204	P/LP	0.48005
ENST00000344204	B/LB	1.1405
ENST00000344327	P/LP	0.82107
ENST00000344327	B/LB	0.82107
ENST00000344626	P/LP	0.18863
ENST00000344626	B/LB	0.65666
ENST00000344836	P/LP	0.25147
ENST00000344836	B/LB	0.865745
ENST00000345165	B/LB	1.1975
ENST00000345517	P/LP	0.4848
ENST00000346027	P/LP	0.21836
ENST00000346027	B/LB	0.48068
ENST00000346169	B/LB	1.0758
ENST00000346436	B/LB	0.86142
ENST00000346798	P/LP	0.83587
ENST00000346798	B/LB	0.83587
ENST00000346872	B/LB	0.88924
ENST00000347132	P/LP	0.7366
ENST00000347132	B/LB	0.95638
ENST00000348035	P/LP	0.21211
ENST00000348035	B/LB	0.21211
ENST00000348462	B/LB	0.67386
ENST00000348513	P/LP	0.041846
ENST00000348513	B/LB	0.91056
ENST00000349155	P/LP	0.76808
ENST00000349155	B/LB	1.095
ENST00000349721	P/LP	0.20868
ENST00000349721	B/LB	1.1113
ENST00000350763	P/LP	1.0051
ENST00000350763	B/LB	1.0051
ENST00000350908	P/LP	0.7716
ENST00000350908	B/LB	0.87047
ENST00000351270	B/LB	1.1374
ENST00000352690	B/LB	1.0952
ENST00000354268	P/LP	0.78571
ENST00000354268	B/LB	1.0323
ENST00000354452	P/LP	0.15421
ENST00000354452	B/LB	0.75714
ENST00000354785	P/LP	0.82793
ENST00000354785	B/LB	0.89604
ENST00000354822	P/LP	0.34504
ENST00000354822	B/LB	0.95393
