transcript	classification	median_mcr_mis_oe
ENST00000262903	B/LB	0.60549
ENST00000262994	P/LP	0.50659
ENST00000262994	B/LB	0.87617
ENST00000263038	P/LP	0.97977
ENST00000263038	B/LB	0.97977
ENST00000263063	P/LP	0.73443
ENST00000263063	B/LB	1.0704
ENST00000263080	P/LP	0.86339
ENST00000263080	B/LB	0.86339
ENST00000263083	P/LP	1.0738
ENST00000263083	B/LB	1.0738
ENST00000263126	B/LB	1.1293
ENST00000263187	P/LP	0.97006
ENST00000263187	B/LB	0.97006
ENST00000263326	B/LB	1.0278
ENST00000263440	P/LP	0.86067
ENST00000263440	B/LB	0.86067
ENST00000263578	P/LP	0.94216
ENST00000263578	B/LB	0.94216
ENST00000263579	P/LP	1.0619
ENST00000263579	B/LB	1.0619
ENST00000263645	B/LB	0.91246
ENST00000263702	P/LP	0.98001
ENST00000263702	B/LB	0.98001
ENST00000263774	P/LP	0.96784
ENST00000263774	B/LB	0.96784
ENST00000263791	P/LP	0.87855
ENST00000263791	B/LB	0.87855
ENST00000263851	B/LB	0.87407
ENST00000263980	P/LP	0.64485
ENST00000263980	B/LB	0.829005
ENST00000263985	P/LP	0.9795
ENST00000263985	B/LB	0.9795
ENST00000263997	B/LB	1.0645
ENST00000264005	P/LP	0.75449
ENST00000264005	B/LB	0.75449
ENST00000264025	B/LB	0.83255
ENST00000264027	B/LB	0.84707
ENST00000264029	B/LB	0.99617
ENST00000264079	P/LP	0.7835
ENST00000264079	B/LB	0.7835
ENST00000264093	P/LP	1.0731
ENST00000264093	B/LB	1.0731
ENST00000264094	B/LB	0.87369
ENST00000264126	B/LB	0.85832
ENST00000264144	P/LP	0.92303
ENST00000264144	B/LB	1.0042
ENST00000264158	B/LB	0.95839
ENST00000264161	P/LP	1.0163
ENST00000264161	B/LB	1.0163
ENST00000264162	P/LP	0.68523
ENST00000264162	B/LB	0.853475
ENST00000264167	P/LP	0.58516
ENST00000264167	B/LB	1.0892
ENST00000264170	P/LP	1.0227
ENST00000264170	B/LB	1.0227
ENST00000264228	P/LP	0.84025
ENST00000264228	B/LB	0.84025
ENST00000264276	P/LP	0.86808
ENST00000264276	B/LB	0.86808
ENST00000264381	P/LP	1.196
ENST00000264381	B/LB	1.196
ENST00000264382	P/LP	1.1044
ENST00000264382	B/LB	1.1044
ENST00000264399	P/LP	0.66009
ENST00000264428	P/LP	0.97837
ENST00000264428	B/LB	0.97837
ENST00000264451	B/LB	0.88148
ENST00000264485	P/LP	0.77618
ENST00000264485	B/LB	0.7399
ENST00000264499	P/LP	0.86896
ENST00000264499	B/LB	0.86896
ENST00000264538	B/LB	0.90024
ENST00000264595	P/LP	1.0221
ENST00000264595	B/LB	1.0221
ENST00000264605	P/LP	0.97773
ENST00000264605	B/LB	0.97773
ENST00000264613	P/LP	0.79888
ENST00000264613	B/LB	1.0235
ENST00000264638	P/LP	0.78358
ENST00000264638	B/LB	0.78358
ENST00000264670	P/LP	1.0393
ENST00000264670	B/LB	1.0393
ENST00000264690	P/LP	0.96496
ENST00000264690	B/LB	0.96496
ENST00000264734	P/LP	1.0182
ENST00000264734	B/LB	1.0182
ENST00000264808	P/LP	0.793425
ENST00000264808	B/LB	0.95098
ENST00000264848	B/LB	1.0165
ENST00000264896	B/LB	0.84359
ENST00000264914	P/LP	0.96922
ENST00000264914	B/LB	0.96922
ENST00000264938	P/LP	0.71519
ENST00000264938	B/LB	1.1465
ENST00000264972	P/LP	0.87466
ENST00000264972	B/LB	0.87466
ENST00000264995	P/LP	0.94946
ENST00000264995	B/LB	0.94946
ENST00000265074	P/LP	0.93511
ENST00000265074	B/LB	0.93511
ENST00000265104	P/LP	0.98041
ENST00000265104	B/LB	0.98041
ENST00000265112	B/LB	0.99488
ENST00000265148	P/LP	0.755895
ENST00000265148	B/LB	0.96963
ENST00000265171	B/LB	0.90276
ENST00000265348	P/LP	0.85287
ENST00000265348	B/LB	0.85287
ENST00000265471	P/LP	0.77918
ENST00000265471	B/LB	0.77918
ENST00000265562	B/LB	1.0925
ENST00000265594	P/LP	0.892
ENST00000265594	B/LB	0.892
ENST00000265602	P/LP	1.0115
ENST00000265602	B/LB	1.0115
ENST00000265631	P/LP	0.93319
ENST00000265631	B/LB	0.93319
ENST00000265641	P/LP	0.78439
ENST00000265641	B/LB	0.78439
ENST00000265686	P/LP	0.93757
ENST00000265686	B/LB	0.93757
ENST00000265689	P/LP	1.003
ENST00000265689	B/LB	1.003
ENST00000265838	P/LP	0.89445
ENST00000265838	B/LB	0.89445
ENST00000265843	B/LB	0.99286
ENST00000266037	B/LB	0.84594
ENST00000266087	P/LP	1.0316
ENST00000266087	B/LB	1.0316
ENST00000266088	P/LP	0.67396
ENST00000266088	B/LB	0.90094
ENST00000266126	P/LP	0.80633
ENST00000266126	B/LB	0.80633
ENST00000266505	B/LB	1.0523
ENST00000266544	P/LP	0.95443
ENST00000266544	B/LB	0.95443
ENST00000266557	P/LP	0.90036
ENST00000266712	P/LP	0.84756
ENST00000266712	B/LB	0.84756
ENST00000266719	P/LP	1.0613
ENST00000266719	B/LB	1.0613
ENST00000266971	P/LP	0.91801
ENST00000266971	B/LB	0.91801
ENST00000267199	P/LP	0.83505
ENST00000267199	B/LB	0.83505
ENST00000267430	B/LB	0.99527
ENST00000267436	P/LP	1.0365
ENST00000267436	B/LB	1.0295
ENST00000267584	B/LB	0.96296
ENST00000267622	P/LP	0.91944
ENST00000267622	B/LB	0.91944
ENST00000267814	P/LP	0.827345
ENST00000267978	P/LP	1.0287
ENST00000267978	B/LB	1.0298
ENST00000268057	P/LP	1.0857
ENST00000268057	B/LB	1.0857
ENST00000268070	P/LP	1.093
ENST00000268070	B/LB	1.093
ENST00000268097	P/LP	0.99381
ENST00000268097	B/LB	0.99381
ENST00000268206	P/LP	0.84475
ENST00000268206	B/LB	0.9921
ENST00000268251	P/LP	0.96141
ENST00000268251	B/LB	0.96141
ENST00000268261	P/LP	1.2615
ENST00000268261	B/LB	1.2615
ENST00000268379	P/LP	0.92374
ENST00000268379	B/LB	0.92374
ENST00000268482	P/LP	0.744205
ENST00000268482	B/LB	1.0386
ENST00000268661	P/LP	1.1088
ENST00000268668	B/LB	1.353
ENST00000268695	P/LP	1.1075
ENST00000268695	B/LB	1.1075
ENST00000268699	B/LB	1.122
ENST00000269097	P/LP	0.85091
ENST00000269097	B/LB	0.85091
ENST00000269142	B/LB	1.0123
ENST00000269321	B/LB	0.61253
ENST00000269703	P/LP	0.94067
ENST00000269703	B/LB	0.94067
ENST00000269980	P/LP	0.8482
ENST00000269980	B/LB	0.8482
ENST00000270066	B/LB	0.8132
ENST00000270115	P/LP	1.0778
ENST00000270115	B/LB	1.0778
ENST00000270139	B/LB	0.97485
ENST00000270176	P/LP	0.90981
ENST00000270176	B/LB	0.79712
ENST00000270593	P/LP	1.0254
ENST00000270593	B/LB	1.0254
ENST00000270861	B/LB	1.0298
ENST00000270879	B/LB	0.90757
ENST00000271620	P/LP	0.82147
ENST00000271620	B/LB	0.82147
ENST00000271643	P/LP	0.96872
ENST00000271643	B/LB	0.96872
ENST00000271651	P/LP	0.7299
ENST00000271651	B/LB	0.7299
ENST00000272252	B/LB	1.088
ENST00000272321	P/LP	0.95107
ENST00000272321	B/LB	0.95107
ENST00000272371	P/LP	0.89519
ENST00000272371	B/LB	0.89519
ENST00000272424	P/LP	1.1516
ENST00000272424	B/LB	1.1516
ENST00000272427	B/LB	0.81537
ENST00000272602	P/LP	0.96007
ENST00000272602	B/LB	1.052535
ENST00000272748	B/LB	0.94389
ENST00000272895	P/LP	0.87762
ENST00000272895	B/LB	0.87762
ENST00000272902	P/LP	1.1763
ENST00000272902	B/LB	1.1763
ENST00000272928	B/LB	0.83334
ENST00000273390	B/LB	1.0197
ENST00000273588	P/LP	0.933
ENST00000273588	B/LB	0.933
ENST00000274137	P/LP	1.2059
ENST00000274487	B/LB	1.0463
ENST00000274606	B/LB	0.92773
ENST00000274680	P/LP	0.90338
ENST00000274680	B/LB	0.90338
ENST00000274813	P/LP	0.93759
ENST00000274813	B/LB	0.93759
ENST00000274867	P/LP	0.97322
ENST00000274867	B/LB	0.97322
ENST00000274938	P/LP	0.67565
ENST00000275605	B/LB	0.81465
ENST00000276431	B/LB	1.0567
ENST00000276659	B/LB	0.87442
ENST00000276689	B/LB	0.90253
ENST00000277010	P/LP	0.82571
ENST00000277010	B/LB	0.82571
ENST00000278243	P/LP	0.87944
ENST00000278243	B/LB	0.87944
ENST00000278422	P/LP	0.86518
ENST00000278422	B/LB	1.07369
ENST00000278483	P/LP	0.75812
ENST00000278483	B/LB	0.75812
ENST00000278742	B/LB	0.8966
ENST00000278826	P/LP	0.99148
ENST00000278853	P/LP	0.94022
ENST00000278853	B/LB	0.94022
ENST00000278935	P/LP	0.96904
ENST00000278935	B/LB	0.96904
ENST00000278937	P/LP	1.1058
ENST00000279027	B/LB	0.89246
ENST00000279230	P/LP	0.97418
ENST00000279230	B/LB	0.97418
ENST00000279247	P/LP	0.85293
ENST00000279247	B/LB	0.85293
ENST00000279281	P/LP	0.89648
ENST00000279281	B/LB	0.89648
ENST00000280326	P/LP	0.68752
ENST00000280326	B/LB	1.4719
ENST00000280346	P/LP	0.9137
ENST00000280346	B/LB	0.9137
ENST00000280362	P/LP	1.0195
ENST00000280362	B/LB	1.0195
ENST00000280481	P/LP	0.97057
ENST00000280481	B/LB	1.0513
ENST00000280551	P/LP	0.89472
ENST00000280551	B/LB	0.89472
ENST00000280700	P/LP	1.0114
ENST00000280700	B/LB	1.0114
ENST00000280772	P/LP	0.835055
ENST00000280772	B/LB	0.92452
ENST00000281031	P/LP	0.97727
ENST00000281038	P/LP	1.074
ENST00000281038	B/LB	1.074
ENST00000281081	P/LP	1.0059
ENST00000281081	B/LB	1.0059
