gene	gene_id	transcript	transcript_mis_oe	transcript_cds_length	n_mcrs	min_mcr_mis_oe	min_mcr_oe_cds_length	loeuf	loeuf_decile	genebayes_shet_decile	roulette_shet_decile	omim_disease_inheritance	ddg2p_monoallelic_strong_def
HSPB6	ENSG00000004776	ENST00000004982	0.98322	480	1	0.9832174945	NA	1.000061271	6	5	4	No OMIM disease association	FALSE
PDK4	ENSG00000004799	ENST00000005178	0.98904	1233	1	0.9890371783	NA	1.15577012	7	4	2	No OMIM disease association	FALSE
CCL26	ENSG00000006606	ENST00000005180	1.0454	282	1	1.045327566	NA	1.68248344	9	1	2	No OMIM disease association	FALSE
USH1C	ENSG00000006611	ENST00000005226	0.99771	2697	1	0.9976877623	NA	0.7802053003	4	2	3	Autosomal recessive only	FALSE
RALA	ENSG00000006451	ENST00000005257	0.39387	618	1	0.3938803433	NA	0.5415454241	3	10	10	Autosomal dominant only	TRUE
BCAP29	ENSG00000075790	ENST00000005259	1.1664	723	1	1.166419019	NA	1.560770059	9	3	6	No OMIM disease association	FALSE
BAIAP2L1	ENSG00000006453	ENST00000005260	0.94695	1533	1	0.9469437467	NA	0.7292847209	4	6	6	No OMIM disease association	FALSE
CACNG3	ENSG00000006116	ENST00000005284	0.56948	945	2	0.4555116915	608	0.3945024747	2	10	10	No OMIM disease association	FALSE
DVL2	ENSG00000004975	ENST00000005340	0.92351	2208	3	0.5868433507	229	0.5292271646	3	7	7	No OMIM disease association	FALSE
RPAP3	ENSG00000005175	ENST00000005386	0.98264	1995	1	0.9826370262	NA	0.8657763496	5	6	6	No OMIM disease association	FALSE
UPP2	ENSG00000007001	ENST00000005756	0.97552	951	1	0.9755236823	NA	1.298616258	8	2	3	No OMIM disease association	FALSE
PRSS21	ENSG00000007038	ENST00000005995	1.1317	942	1	1.131737107	NA	1.260761007	8	2	3	No OMIM disease association	FALSE
HOXA11	ENSG00000005073	ENST00000006015	0.90443	939	4	0.3925288672	70	0.6704644273	3	8	10	Autosomal dominant only	FALSE
CX3CL1	ENSG00000006210	ENST00000006053	0.94155	1191	1	0.9415493614	NA	0.4619475393	2	8	9	No OMIM disease association	FALSE
SPATA20	ENSG00000006282	ENST00000006658	0.94969	2406	1	0.9497102262	NA	0.7731422387	4	2	4	No OMIM disease association	FALSE
CD79B	ENSG00000007312	ENST00000006750	0.72875	687	1	0.7287557665	NA	0.396129425	2	9	10	Autosomal recessive only	FALSE
RHBDD2	ENSG00000005486	ENST00000006777	0.98772	1092	1	0.9877213498	NA	1.070509859	7	7	10	No OMIM disease association	FALSE
RPUSD1	ENSG00000007376	ENST00000007264	1.3478	936	1	1.347806422	NA	1.00537603	6	1	2	No OMIM disease association	FALSE
TSR3	ENSG00000007520	ENST00000007390	1.1508	936	1	1.150797225	NA	1.127774554	7	4	6	No OMIM disease association	FALSE
OSBPL7	ENSG00000006025	ENST00000007414	0.80141	2526	3	0.2079088528	58	0.6261538593	3	8	6	No OMIM disease association	FALSE
ARHGAP33	ENSG00000004777	ENST00000007510	0.85799	3861	6	0.4910305094	337	0.4553799928	2	8	7	No OMIM disease association	FALSE
NDUFAB1	ENSG00000004779	ENST00000007516	0.91087	468	3	0.4243131431	116	0.7579240047	4	7	9	No OMIM disease association	FALSE
YBX2	ENSG00000006047	ENST00000007699	0.79146	1092	2	0.3150242326	278	0.1607609336	1	10	10	No OMIM disease association	FALSE
KRT33A	ENSG00000006059	ENST00000007735	1.0337	1212	1	1.033731268	NA	1.827018043	9	1	1	No OMIM disease association	FALSE
TFAP2D	ENSG00000008197	ENST00000008391	0.91381	1356	3	0.1742059114	45	0.3880614362	2	9	10	No OMIM disease association	FALSE
CRY1	ENSG00000008405	ENST00000008527	0.8194	1758	1	0.8193975265	NA	0.8009692619	4	7	6	Autosomal dominant only	FALSE
PGLYRP1	ENSG00000008438	ENST00000008938	0.97186	588	1	0.971849866	NA	1.484878428	9	2	3	No OMIM disease association	FALSE
STARD3NL	ENSG00000010270	ENST00000009041	0.84301	702	1	0.8430002162	NA	0.834702402	5	7	6	No OMIM disease association	FALSE
CD9	ENSG00000010278	ENST00000009180	0.8629	684	1	0.8629018824	NA	0.4890610202	2	6	7	No OMIM disease association	FALSE
CD74	ENSG00000019582	ENST00000009530	0.86775	888	1	0.8677569254	NA	0.8044012662	4	6	7	No OMIM disease association	FALSE
RPS20	ENSG00000008988	ENST00000009589	0.45913	357	1	0.4591242376	NA	0.7052968438	4	8	7	No OMIM disease association	FALSE
CPA1	ENSG00000091704	ENST00000011292	0.87572	1257	1	0.875727478	NA	1.015679884	6	4	2	No OMIM disease association	FALSE
RANBP9	ENSG00000010017	ENST00000011619	0.88633	2187	4	0.09533342867	51	0.2247727957	1	10	10	No OMIM disease association	FALSE
CD4	ENSG00000010610	ENST00000011653	0.8314	1374	1	0.8313885648	NA	0.6178847742	3	6	6	Other inheritance type	FALSE
SS18L2	ENSG00000008324	ENST00000011691	1.0399	231	1	1.039846935	NA	2.156826351	10	4	4	No OMIM disease association	FALSE
TSPAN9	ENSG00000011105	ENST00000011898	0.87044	717	1	0.8704278537	NA	0.6132217547	3	8	6	No OMIM disease association	FALSE
QPCTL	ENSG00000011478	ENST00000012049	0.93337	1146	1	0.9333648393	NA	1.2679358	8	2	2	No OMIM disease association	FALSE
PPP5C	ENSG00000011485	ENST00000012443	0.68647	1497	2	0.6182404908	1384	0.4011711171	2	10	10	No OMIM disease association	FALSE
UBR7	ENSG00000012963	ENST00000013070	0.76966	1275	1	0.7696654391	NA	0.5465514465	3	8	7	Autosomal recessive only	FALSE
INMT	ENSG00000241644	ENST00000013222	0.94005	789	1	0.9400565224	NA	1.471008321	9	1	1	No OMIM disease association	FALSE
GPRC5A	ENSG00000013588	ENST00000014914	1.044	1071	1	1.04399867	NA	1.345027495	8	3	2	No OMIM disease association	FALSE
HEBP1	ENSG00000013583	ENST00000014930	0.9745	567	1	0.9744854636	NA	0.8992159566	5	2	1	No OMIM disease association	FALSE
COX15	ENSG00000014919	ENST00000016171	0.83814	1230	1	0.8381393307	NA	1.366222962	8	3	2	Autosomal recessive only	FALSE
MS4A12	ENSG00000071203	ENST00000016913	1.046	801	1	1.04596752	NA	1.757261234	9	1	1	No OMIM disease association	FALSE
XYLT2	ENSG00000015532	ENST00000017003	0.79064	2595	3	0.5891337552	719	0.5415248281	3	8	8	Autosomal recessive only	FALSE
SCTR	ENSG00000080293	ENST00000019103	1.0211	1320	1	1.02105703	NA	1.16168688	7	1	1	No OMIM disease association	FALSE
PSD	ENSG00000059915	ENST00000020673	0.79991	3072	3	0.5029951072	508	0.4153470347	2	9	8	Other inheritance type	FALSE
SYT13	ENSG00000019505	ENST00000020926	0.90219	1278	1	0.9021816392	NA	0.7024812164	4	6	8	No OMIM disease association	FALSE
SNAI2	ENSG00000019549	ENST00000020945	0.74503	804	3	0.313169273	244	0.2786712685	1	9	9	Other inheritance type	FALSE
VDAC3	ENSG00000078668	ENST00000022615	0.78023	849	1	0.7802224082	NA	0.4349504411	2	10	10	No OMIM disease association	FALSE
SLC7A9	ENSG00000021488	ENST00000023064	0.84422	1461	1	0.8442201575	NA	0.9081885304	5	4	3	Other inheritance type	FALSE
RB1CC1	ENSG00000023287	ENST00000025008	0.93763	4782	6	0.3421903605	158	0.3688393592	2	10	10	Other inheritance type	FALSE
AKAP11	ENSG00000023516	ENST00000025301	1.0018	5703	3	0.1868925991	43	0.3696319963	2	8	9	No OMIM disease association	FALSE
CDH17	ENSG00000079112	ENST00000027335	0.9758	2496	1	0.9758254717	NA	1.008553367	6	1	2	No OMIM disease association	FALSE
B4GALT7	ENSG00000027847	ENST00000029410	1.1247	981	1	1.124717157	NA	0.7616984328	4	2	4	Autosomal recessive only	FALSE
CHPF2	ENSG00000033100	ENST00000035307	1.0093	2316	1	1.009271779	NA	1.054122392	7	2	2	No OMIM disease association	FALSE
GABARAPL2	ENSG00000034713	ENST00000037243	0.9404	351	1	0.9404168714	NA	1.153004694	7	6	5	No OMIM disease association	FALSE
MYOC	ENSG00000034971	ENST00000037502	0.91688	1512	1	0.9168842051	NA	1.415187781	9	3	2	Autosomal dominant only	FALSE
NSMAF	ENSG00000035681	ENST00000038176	0.90261	2751	1	0.9025915996	NA	0.8661472623	5	5	3	No OMIM disease association	FALSE
OTC	ENSG00000036473	ENST00000039007	0.74519	1062	1	0.7452080052	NA	0.4916311516	2	9	NA	Other inheritance type	TRUE
TTC17	ENSG00000052841	ENST00000039989	0.91417	3423	3	0.7316029984	1125	0.5089464851	2	9	8	No OMIM disease association	FALSE
HOXC8	ENSG00000037965	ENST00000040584	1.0232	726	1	1.023216656	NA	0.6051403127	3	8	9	No OMIM disease association	FALSE
MRI1	ENSG00000037757	ENST00000040663	0.98439	1107	3	0.4417782738	89	1.317651485	8	1	1	No OMIM disease association	FALSE
BOD1L1	ENSG00000038219	ENST00000040738	0.97543	9153	2	0.7440613735	502	0.4149716444	2	8	7	No OMIM disease association	FALSE
TARBP1	ENSG00000059588	ENST00000040877	1.0275	4863	1	1.027489188	NA	0.8803722781	5	2	3	No OMIM disease association	FALSE
RIPOR1	ENSG00000039523	ENST00000042381	0.86498	3657	3	0.6825477277	669	0.5097712888	2	9	8	No OMIM disease association	FALSE
RTN4R	ENSG00000040608	ENST00000043402	0.82505	1419	2	0.7616132185	1146	1.103431423	7	9	10	Autosomal dominant only	FALSE
PSMA4	ENSG00000041357	ENST00000044462	0.55387	783	2	0.3719747622	528	0.4783394498	2	9	8	No OMIM disease association	FALSE
ZPBP	ENSG00000042813	ENST00000046087	0.94238	1053	2	0.5919328015	166	0.833549682	5	6	6	Autosomal recessive only	FALSE
CTNS	ENSG00000040531	ENST00000046640	0.96132	1101	1	0.9613159721	NA	0.7263109347	4	2	4	Autosomal recessive only	FALSE
LCP2	ENSG00000043462	ENST00000046794	0.9517	1599	1	0.9517056645	NA	0.4640939033	2	8	9	Autosomal recessive only	FALSE
DCN	ENSG00000011465	ENST00000052754	0.9045	1077	1	0.904503918	NA	0.8684979845	5	7	7	Autosomal dominant only	FALSE
TNFRSF17	ENSG00000048462	ENST00000053243	1.3509	552	1	1.350872531	NA	2.107564516	10	2	3	No OMIM disease association	FALSE
MRPS10	ENSG00000048544	ENST00000053468	0.98697	603	3	0.3216468318	87	1.517300022	9	2	4	No OMIM disease association	FALSE
GRN	ENSG00000030582	ENST00000053867	0.90973	1779	3	0.5482599274	168	0.5529755105	3	7	7	Other inheritance type	FALSE
THAP3	ENSG00000041988	ENST00000054650	0.90892	717	1	0.9089193609	NA	0.9126823601	5	6	5	No OMIM disease association	FALSE
VAMP3	ENSG00000049245	ENST00000054666	0.95798	300	1	0.9579897919	NA	0.8609274003	5	5	5	No OMIM disease association	FALSE
RCN1	ENSG00000049449	ENST00000054950	0.76696	993	1	0.7669505482	NA	0.5573972171	3	4	4	No OMIM disease association	FALSE
RFC2	ENSG00000049541	ENST00000055077	0.88177	1062	1	0.8817758967	NA	1.093414001	7	5	3	No OMIM disease association	FALSE
PPP1R3F	ENSG00000049769	ENST00000055335	1.1285	2397	1	1.128463891	NA	1.730367103	9	5	NA	No OMIM disease association	FALSE
NEXMIF	ENSG00000050030	ENST00000055682	0.87668	4548	5	0.5133106769	211	1.809323898	9	10	NA	Other inheritance type	TRUE
TNIP3	ENSG00000050730	ENST00000057513	0.9444	975	1	0.9443942717	NA	0.8474846969	5	4	6	No OMIM disease association	FALSE
SIKE1	ENSG00000052723	ENST00000060969	0.87952	621	1	0.8795214136	NA	0.8666401549	5	6	7	No OMIM disease association	FALSE
TLL1	ENSG00000038295	ENST00000061240	0.9042	3039	3	0.33116238	63	0.5032602196	2	8	8	Autosomal dominant only	FALSE
CBLN4	ENSG00000054803	ENST00000064571	0.73196	603	2	0.5898395383	387	0.9552631651	6	8	8	No OMIM disease association	FALSE
CLDN11	ENSG00000013297	ENST00000064724	0.6218	621	3	0.05277323342	41	0.3738887881	2	9	10	Autosomal dominant only	FALSE
RELT	ENSG00000054967	ENST00000064780	0.93432	1290	1	0.9343182969	NA	0.8735195051	5	5	4	Autosomal recessive only	FALSE
CDC27	ENSG00000004897	ENST00000066544	0.603	2472	9	0.1558664225	69	0.3946959187	2	10	9	No OMIM disease association	FALSE
YIPF1	ENSG00000058799	ENST00000072644	0.95155	918	1	0.951538544	NA	0.9224832841	6	2	5	No OMIM disease association	FALSE
ADCK2	ENSG00000133597	ENST00000072869	0.87019	1878	1	0.8701858066	NA	0.8018539744	4	2	5	No OMIM disease association	FALSE
SLC2A3	ENSG00000059804	ENST00000075120	0.80063	1488	5	0.08742405036	58	0.6532677456	3	8	7	No OMIM disease association	FALSE
ENPP2	ENSG00000136960	ENST00000075322	0.86265	2589	1	0.8626347867	NA	0.5070244334	2	8	7	No OMIM disease association	FALSE
STYK1	ENSG00000060140	ENST00000075503	1.0113	1266	1	1.01128339	NA	1.239718682	8	1	2	No OMIM disease association	FALSE
GNA11	ENSG00000088256	ENST00000078429	0.51904	1077	3	0.2615008054	190	0.2688770784	1	10	8	Autosomal dominant only	TRUE
CREB3L3	ENSG00000060566	ENST00000078445	0.97012	1383	1	0.9701242028	NA	1.090538466	7	3	2	Autosomal dominant only	FALSE
HDAC7	ENSG00000061273	ENST00000080059	0.80363	2973	6	0.09547450831	45	0.2734881039	1	9	7	No OMIM disease association	FALSE
MRPS35	ENSG00000061794	ENST00000081029	0.97188	969	1	0.9718856666	NA	1.253452437	8	3	4	Other inheritance type	FALSE
APPBP2	ENSG00000062725	ENST00000083182	0.58349	1755	5	0.1196029183	41	0.3241222099	1	9	9	No OMIM disease association	FALSE
CA11	ENSG00000063180	ENST00000084798	0.79126	984	1	0.7912584778	NA	0.7477697841	4	7	7	No OMIM disease association	FALSE
CD22	ENSG00000012124	ENST00000085219	0.87796	2541	1	0.8779705771	NA	0.6236290261	3	8	8	No OMIM disease association	FALSE
GSC2	ENSG00000063515	ENST00000086933	1.3152	615	1	1.315175427	NA	1.551562	9	2	NA	No OMIM disease association	FALSE
KCNQ1	ENSG00000053918	ENST00000155840	0.8359	2028	5	0.6058673469	480	0.5020906557	2	6	3	Other inheritance type	FALSE
TRPM5	ENSG00000070985	ENST00000155858	1.0339	3495	1	1.03391857	NA	0.6520905809	3	1	2	No OMIM disease association	FALSE
TRIB2	ENSG00000071575	ENST00000155926	0.68154	1029	4	0.2257614317	109	0.1658992831	1	9	10	No OMIM disease association	FALSE
AQR	ENSG00000021776	ENST00000156471	0.71234	4455	9	0.08473499131	59	0.4316987862	2	9	9	No OMIM disease association	FALSE
ST6GALNAC1	ENSG00000070526	ENST00000156626	0.98432	1800	1	0.9843145567	NA	0.9051631163	5	1	1	No OMIM disease association	FALSE
LMCD1	ENSG00000071282	ENST00000157600	0.9481	1095	1	0.9481027594	NA	1.003693237	6	6	6	No OMIM disease association	FALSE
PSMC4	ENSG00000013275	ENST00000157812	0.47129	1254	4	0.1628493992	187	0.4389663652	2	8	8	No OMIM disease association	FALSE
FNDC8	ENSG00000073598	ENST00000158009	0.93179	972	1	0.9317862166	NA	1.292397969	8	2	2	No OMIM disease association	FALSE
ACAP1	ENSG00000072818	ENST00000158762	0.75661	2220	5	0.104772382	45	0.5154102823	2	8	6	No OMIM disease association	FALSE
DERL2	ENSG00000072849	ENST00000158771	0.70196	717	3	0.5759672999	536	0.5776078729	3	9	10	No OMIM disease association	FALSE
NOX3	ENSG00000074771	ENST00000159060	0.98826	1704	1	0.9882546995	NA	1.136359226	7	1	2	No OMIM disease association	FALSE
ANO8	ENSG00000074855	ENST00000159087	0.87822	3696	8	0.2462902531	42	0.5031040777	2	8	8	No OMIM disease association	FALSE
KDM4B	ENSG00000127663	ENST00000159111	0.75425	3288	7	0.3436426117	455	0.2251923999	1	10	10	Autosomal dominant only	TRUE
ICAM3	ENSG00000076662	ENST00000160262	0.9959	1641	1	0.9959049503	NA	1.265699623	8	1	1	No OMIM disease association	FALSE
CAMSAP3	ENSG00000076826	ENST00000160298	0.90495	3747	6	0.4387119417	166	0.3109925888	1	10	10	No OMIM disease association	FALSE
CTTNBP2	ENSG00000077063	ENST00000160373	0.94528	4989	1	0.9452687432	NA	0.7865831191	4	6	5	No OMIM disease association	FALSE
ACTL6B	ENSG00000077080	ENST00000160382	0.61164	1278	3	0.2947389104	169	0.9925487076	6	8	7	Other inheritance type	FALSE
KIF22	ENSG00000079616	ENST00000160827	0.98145	1995	3	0.6963986243	799	0.9564226637	6	6	6	Autosomal dominant only	TRUE
PRSS22	ENSG00000005001	ENST00000161006	1.052	951	1	1.05198313	NA	1.079961192	7	5	5	No OMIM disease association	FALSE
CEACAM1	ENSG00000079385	ENST00000161559	0.88336	1578	1	0.8833648452	NA	0.8533806723	5	7	6	No OMIM disease association	FALSE
YTHDC2	ENSG00000047188	ENST00000161863	0.95723	4290	5	0.2071594299	64	0.3671012541	2	9	10	No OMIM disease association	FALSE
TMEM161A	ENSG00000064545	ENST00000162044	0.96709	1437	1	0.9670930887	NA	1.034696686	6	3	3	No OMIM disease association	FALSE
BCAR1	ENSG00000050820	ENST00000162330	1.0742	2610	2	0.4834335574	180	0.4501725203	2	10	10	No OMIM disease association	FALSE
FOXJ2	ENSG00000065970	ENST00000162391	0.92226	1722	2	0.7000243487	387	0.4075291971	2	9	10	No OMIM disease association	FALSE
TNFRSF1A	ENSG00000067182	ENST00000162749	0.78278	1365	4	0	42	0.3219188054	1	10	10	Other inheritance type	FALSE
GOLGA5	ENSG00000066455	ENST00000163416	0.88746	2193	1	0.887466866	NA	0.6781718846	4	8	8	No OMIM disease association	FALSE
CELSR3	ENSG00000008300	ENST00000164024	0.79712	9936	7	0.06244146113	42	0.2485352172	1	9	9	No OMIM disease association	FALSE
PPP2R5B	ENSG00000068971	ENST00000164133	0.68881	1491	3	0.5490228213	1163	0.4707300091	2	9	9	No OMIM disease association	FALSE
PYGM	ENSG00000068976	ENST00000164139	0.88935	2526	1	0.8893877903	NA	0.9089416509	5	5	4	Autosomal recessive only	FALSE
BCL3	ENSG00000069399	ENST00000164227	0.88052	1362	5	0.1834997064	51	0.2923522209	1	9	9	Other inheritance type	FALSE
PIGB	ENSG00000069943	ENST00000164305	0.9668	1662	1	0.966802385	NA	1.238601778	8	5	4	Autosomal recessive only	FALSE
PRLH	ENSG00000071677	ENST00000165524	1.1831	261	1	1.183093995	NA	3.287665976	10	3	7	No OMIM disease association	FALSE
FSTL3	ENSG00000070404	ENST00000166139	1.05	789	1	1.050034126	NA	0.7048625589	4	9	6	No OMIM disease association	FALSE
EPHA8	ENSG00000070886	ENST00000166244	0.93462	3015	1	0.9346330275	NA	0.5008054538	2	6	4	No OMIM disease association	FALSE
TRIP13	ENSG00000071539	ENST00000166345	0.69829	1296	4	0.09672583063	42	0.5295803459	3	8	9	Autosomal recessive only	FALSE
VASH1	ENSG00000071246	ENST00000167106	0.98891	1095	1	0.9889163044	NA	0.6561534242	3	8	8	No OMIM disease association	FALSE
KRT14	ENSG00000186847	ENST00000167586	0.83508	1416	1	0.8350893624	NA	0.7549959026	4	8	5	Other inheritance type	FALSE
KRT20	ENSG00000171431	ENST00000167588	1.0226	1272	1	1.022600821	NA	1.37011167	8	2	2	No OMIM disease association	FALSE
SPP2	ENSG00000072080	ENST00000168148	1.0193	633	1	1.019325502	NA	1.430970764	9	1	1	No OMIM disease association	FALSE
FGF4	ENSG00000075388	ENST00000168712	0.96196	618	1	0.9619588981	NA	0.7797798614	4	7	7	No OMIM disease association	FALSE
NMRK2	ENSG00000077009	ENST00000168977	1.0825	690	1	1.082539683	NA	1.485956965	9	2	1	No OMIM disease association	FALSE
ST6GAL1	ENSG00000073849	ENST00000169298	0.87024	1218	1	0.8702308529	NA	0.8196354298	5	7	8	No OMIM disease association	FALSE
TIMM21	ENSG00000075336	ENST00000169551	0.96393	744	1	0.9639190572	NA	1.458346225	9	3	5	No OMIM disease association	FALSE
BPIFB2	ENSG00000078898	ENST00000170150	0.97978	1374	1	0.9797897037	NA	0.9652747184	6	1	3	No OMIM disease association	FALSE
REXO1	ENSG00000079313	ENST00000170168	1.0499	3663	1	1.04992785	NA	0.2590367932	1	9	8	No OMIM disease association	FALSE
MKRN2	ENSG00000075975	ENST00000170447	0.98007	1248	1	0.9800633501	NA	0.9148414139	5	6	7	No OMIM disease association	FALSE
GPATCH1	ENSG00000076650	ENST00000170564	0.92462	2793	3	0.5702975611	139	0.7962355394	4	3	4	No OMIM disease association	FALSE
KEAP1	ENSG00000079999	ENST00000171111	0.61852	1872	4	0.048828125	56	0.5962873523	3	8	7	No OMIM disease association	FALSE
P2RY10	ENSG00000078589	ENST00000171757	0.88063	1017	1	0.8806410159	NA	5.15809222	10	9	NA	No OMIM disease association	FALSE
NGFR	ENSG00000064300	ENST00000172229	0.87793	1281	1	0.877935441	NA	0.9244827856	6	7	7	No OMIM disease association	FALSE
NTN1	ENSG00000065320	ENST00000173229	0.82859	1812	1	0.8285931831	NA	0.2879896765	1	10	7	Autosomal dominant only	FALSE
ISOC1	ENSG00000066583	ENST00000173527	0.9587	894	1	0.9587134684	NA	1.445936841	9	4	3	No OMIM disease association	FALSE
TRO	ENSG00000067445	ENST00000173898	0.85391	4293	2	0.7901191958	3043	1.154322465	7	7	NA	No OMIM disease association	FALSE
MNT	ENSG00000070444	ENST00000174618	0.95582	1746	4	0.2027472249	47	0.370757155	2	10	10	No OMIM disease association	FALSE
LAPTM4A	ENSG00000068697	ENST00000175091	1.0156	699	1	1.01559792	NA	0.9764725255	6	4	5	No OMIM disease association	FALSE
ADAM7	ENSG00000069206	ENST00000175238	1.0906	2262	1	1.090616952	NA	1.097550883	7	1	3	No OMIM disease association	FALSE
PTPN18	ENSG00000072135	ENST00000175756	0.95279	1380	3	0.5018065034	125	1.201536362	8	4	4	No OMIM disease association	FALSE
SCT	ENSG00000070031	ENST00000176195	1.3859	363	1	1.385959626	NA	1.689153917	9	2	NA	Other inheritance type	FALSE
ALDH3A2	ENSG00000072210	ENST00000176643	0.91521	1455	1	0.9152103989	NA	0.9580861727	6	3	3	Autosomal recessive only	FALSE
STK10	ENSG00000072786	ENST00000176763	0.86634	2904	5	0.1843771127	29	0.7478819721	4	6	4	No OMIM disease association	FALSE
TBX21	ENSG00000073861	ENST00000177694	0.82767	1605	4	0.06027364234	39	0.3172481608	1	10	10	Autosomal recessive only	FALSE
CA12	ENSG00000074410	ENST00000178638	0.96597	1062	1	0.9659695144	NA	0.7392439338	4	2	3	Autosomal recessive only	FALSE
MAP2K5	ENSG00000137764	ENST00000178640	0.81972	1344	3	0.6388804381	654	0.6618850155	3	7	7	No OMIM disease association	FALSE
TIGAR	ENSG00000078237	ENST00000179259	0.78807	810	1	0.7880750199	NA	0.7239316692	4	7	9	No OMIM disease association	FALSE
FGF20	ENSG00000078579	ENST00000180166	1.4108	633	1	1.410803127	NA	0.7487660851	4	7	10	Autosomal recessive only	FALSE
MTMR7	ENSG00000003987	ENST00000180173	1.2732	1980	1	1.273186258	NA	0.8827446953	5	5	5	No OMIM disease association	FALSE
CPB2	ENSG00000080618	ENST00000181383	0.83198	1269	1	0.831982501	NA	1.243562384	8	3	1	No OMIM disease association	FALSE
FAM107B	ENSG00000065809	ENST00000181796	1.1986	918	1	1.198589271	NA	1.184408417	8	9	4	No OMIM disease association	FALSE
CDK13	ENSG00000065883	ENST00000181839	0.87303	4536	5	0.1356177388	61	0.4441257209	2	9	9	Autosomal dominant only	TRUE
TSPAN32	ENSG00000064201	ENST00000182290	1.106	960	1	1.106001651	NA	0.8513229272	5	3	5	No OMIM disease association	FALSE
TRAM2	ENSG00000065308	ENST00000182527	0.78134	1110	1	0.7813345454	NA	0.3558884006	1	8	9	No OMIM disease association	FALSE
CLDN18	ENSG00000066405	ENST00000183605	0.85974	783	1	0.8597481546	NA	1.223591024	8	5	4	No OMIM disease association	FALSE
NDUFB4	ENSG00000065518	ENST00000184266	1.0245	387	1	1.024526545	NA	1.286435474	8	3	1	No OMIM disease association	FALSE
HEATR6	ENSG00000068097	ENST00000184956	0.93961	3543	1	0.9395831871	NA	0.9207451527	5	2	4	No OMIM disease association	FALSE
ERLEC1	ENSG00000068912	ENST00000185150	0.97119	1449	1	0.9711897503	NA	0.9599994029	6	7	6	No OMIM disease association	FALSE
TMEM131	ENSG00000075568	ENST00000186436	0.88547	5649	2	0.7327460784	964	0.3804017237	2	9	8	No OMIM disease association	FALSE
TMEM38A	ENSG00000072954	ENST00000187762	0.83446	897	1	0.834456967	NA	1.013390958	6	5	5	No OMIM disease association	FALSE
ACTR6	ENSG00000075089	ENST00000188312	0.7282	1188	1	0.7281964437	NA	1.432868658	9	5	4	No OMIM disease association	FALSE
FAP	ENSG00000078098	ENST00000188790	1.0108	2280	1	1.010756473	NA	1.077060831	7	4	4	No OMIM disease association	FALSE
DMRT3	ENSG00000064218	ENST00000190165	1.2272	1416	1	1.227169403	NA	0.642632318	3	5	5	No OMIM disease association	FALSE
OSBPL6	ENSG00000079156	ENST00000190611	0.86839	2802	3	0.4101463907	81	0.5296204977	3	9	7	No OMIM disease association	FALSE
CCN5	ENSG00000064205	ENST00000190983	1.0704	750	1	1.070376528	NA	1.418073806	9	1	4	No OMIM disease association	FALSE
GAL3ST2	ENSG00000154252	ENST00000192314	1.1175	1194	1	1.117543154	NA	1.599867833	9	1	1	No OMIM disease association	FALSE
UHRF1BP1	ENSG00000065060	ENST00000192788	0.87967	4320	1	0.8796983891	NA	0.7066251522	4	5	3	No OMIM disease association	FALSE
OSTM1	ENSG00000081087	ENST00000193322	0.89351	1002	3	0.2696289905	47	1.059492876	7	7	7	Autosomal recessive only	FALSE
